Mutation Rate, Ploid, Sample number, Theta, Rho, Sites number, Real admixture time, Estimated admixture time
2.5e-8, 2, 100, 30000, 6000, 30000000, 5000.0, 3400.69041782
2.5e-8, 2, 100, 30000, 6000, 30000000, 5200.0, 3875.58584476
2.5e-8, 2, 100, 30000, 6000, 30000000, 5600.0, 17129.6497963
2.5e-8, 2, 100, 30000, 6000, 30000000, 8000.0, 14107.071307
2.5e-8, 2, 100, 30000, 6000, 30000000, 9200.0, 15788.7345624
2.5e-8, 2, 100, 30000, 6000, 30000000, 10000.0, 15140.1127162
2.5e-8, 2, 100, 30000, 6000, 30000000, 13600.0, 13874.8890095
2.5e-8, 2, 100, 30000, 6000, 30000000, 13800.0, 13579.8946422
2.5e-8, 2, 100, 30000, 6000, 30000000, 15000.0, 13205.8946161
2.5e-8, 2, 100, 30000, 6000, 30000000, 18400.0, 23232.9229204
2.5e-8, 2, 100, 30000, 6000, 30000000, 20000.0, 23778.3658692
2.5e-8, 2, 100, 30000, 6000, 30000000, 21400.0, 23129.8658312
2.5e-8, 2, 100, 30000, 6000, 30000000, 22800.0, 23341.6795771
2.5e-8, 2, 100, 30000, 6000, 30000000, 23200.0, 23036.6280235
2.5e-8, 2, 100, 30000, 6000, 30000000, 25000.0, 33675.596141
2.5e-8, 2, 100, 30000, 6000, 30000000, 28000.0, 34126.1110805
2.5e-8, 2, 100, 30000, 6000, 30000000, 30000.0, 32565.8199352
2.5e-8, 2, 100, 30000, 6000, 30000000, 31400.0, 33085.0146263
2.5e-8, 2, 100, 30000, 6000, 30000000, 33800.0, 32027.4082415
2.5e-8, 2, 100, 30000, 6000, 30000000, 35000.0, 43437.5105921
2.5e-8, 2, 100, 30000, 6000, 30000000, 37400.0, 42690.6117853
2.5e-8, 2, 100, 30000, 6000, 30000000, 38200.0, 43375.7020822
2.5e-8, 2, 100, 30000, 6000, 30000000, 38600.0, 42502.2954927
2.5e-8, 2, 100, 30000, 6000, 30000000, 38800.0, 43267.5971747
2.5e-8, 2, 100, 30000, 6000, 30000000, 40000.0, 41509.1014253
2.5e-8, 2, 100, 30000, 6000, 30000000, 40800.0, 42192.42722
2.5e-8, 2, 100, 30000, 6000, 30000000, 42600.0, 41483.1161302
2.5e-8, 2, 100, 30000, 6000, 30000000, 43600.0, 41274.8277019
2.5e-8, 2, 100, 30000, 6000, 30000000, 45000.0, 40949.0466339
2.5e-8, 2, 100, 30000, 6000, 30000000, 47800.0, 40858.9863408
2.5e-8, 2, 100, 30000, 6000, 30000000, 48400.0, 52612.1823268
2.5e-8, 2, 100, 30000, 6000, 30000000, 50000.0, 51953.6177601
2.5e-8, 2, 100, 30000, 6000, 30000000, 50600.0, 52222.5355205
2.5e-8, 2, 100, 30000, 6000, 30000000, 51400.0, 50943.3804183
2.5e-8, 2, 100, 30000, 6000, 30000000, 53600.0, 51801.8459667
2.5e-8, 2, 100, 30000, 6000, 30000000, 55000.0, 50697.9283234
2.5e-8, 2, 100, 30000, 6000, 30000000, 55400.0, 51436.1433156
2.5e-8, 2, 100, 30000, 6000, 30000000, 55600.0, 51336.524494
2.5e-8, 2, 100, 30000, 6000, 30000000, 57800.0, 50525.2139013
2.5e-8, 2, 100, 30000, 6000, 30000000, 60000.0, 50726.2080221
2.5e-8, 2, 100, 30000, 6000, 30000000, 60400.0, 63345.3036639
2.5e-8, 2, 100, 30000, 6000, 30000000, 64200.0, 62103.4519196
2.5e-8, 2, 100, 30000, 6000, 30000000, 65000.0, 49649.4841426
2.5e-8, 2, 100, 30000, 6000, 30000000, 66200.0, 61567.243318
2.5e-8, 2, 100, 30000, 6000, 30000000, 67200.0, 74810.2302979
2.5e-8, 2, 100, 30000, 6000, 30000000, 69800.0, 60336.0930323
2.5e-8, 2, 100, 30000, 6000, 30000000, 70000.0, 61430.6510896
2.5e-8, 2, 100, 30000, 6000, 30000000, 70000.0, 61333.2762587
2.5e-8, 2, 100, 30000, 6000, 30000000, 71000.0, 91345.5311702
2.5e-8, 2, 100, 30000, 6000, 30000000, 71600.0, 61729.9357015
2.5e-8, 2, 100, 30000, 6000, 30000000, 73000.0, 74369.5329911
2.5e-8, 2, 100, 30000, 6000, 30000000, 75000.0, 50418.9890131
2.5e-8, 2, 100, 30000, 6000, 30000000, 76400.0, 74398.7639483
2.5e-8, 2, 100, 30000, 6000, 30000000, 80000.0, 74473.1799903
2.5e-8, 2, 100, 30000, 6000, 30000000, 81200.0, 82720.9627766
2.5e-8, 2, 100, 30000, 6000, 30000000, 82400.0, 73781.2359961
2.5e-8, 2, 100, 30000, 6000, 30000000, 83600.0, 82803.8749871
2.5e-8, 2, 100, 30000, 6000, 30000000, 84200.0, 82628.0818235
2.5e-8, 2, 100, 30000, 6000, 30000000, 85000.0, 83281.7805942
2.5e-8, 2, 100, 30000, 6000, 30000000, 85000.0, 82487.5993657
2.5e-8, 2, 100, 30000, 6000, 30000000, 88200.0, 92754.9422568
2.5e-8, 2, 100, 30000, 6000, 30000000, 89000.0, 93126.0363773
2.5e-8, 2, 100, 30000, 6000, 30000000, 90000.0, 92741.6679634
2.5e-8, 2, 100, 30000, 6000, 30000000, 91200.0, 92548.0455869
2.5e-8, 2, 100, 30000, 6000, 30000000, 91400.0, 92721.7670166
2.5e-8, 2, 100, 30000, 6000, 30000000, 91600.0, 92766.8065889
2.5e-8, 2, 100, 30000, 6000, 30000000, 92200.0, 93333.6332549
2.5e-8, 2, 100, 30000, 6000, 30000000, 94400.0, 104592.62056
2.5e-8, 2, 100, 30000, 6000, 30000000, 95000.0, 93964.6221502
2.5e-8, 2, 100, 30000, 6000, 30000000, 100000.0, 103623.666192
